,x
34302_at,0.6301241
35970_g_at,0.629698062
32240_at,0.629242988
37713_at,0.629096547
32372_at,0.629004749
41824_at,0.628911627
31863_at,0.628802806
40900_at,0.627966324
36637_at,0.627933246
992_at,0.627823948
35186_at,0.627672272
33760_at,0.627303139
40827_at,0.627287446
36528_at,0.627232656
38372_at,0.627154752
1850_at,0.626759951
34812_at,0.626331108
41583_at,0.625962693
37127_at,0.625889027
32181_at,0.624949572
32792_at,0.624908685
40854_at,0.624748937
33215_g_at,0.624104382
38072_at,0.624063924
35297_at,0.623875067
35059_at,0.623732427
39010_at,0.622916675
32577_s_at,0.622717007
32623_at,0.622683823
32293_at,0.622463033
1985_s_at,0.62246048
32751_at,0.621973879
229_at,0.621096905
34699_at,0.620833136
33297_at,0.620462579
41223_at,0.619910375
38508_s_at,0.619828025
218_at,0.618379348
36635_at,0.618217556
869_at,0.618119846
33132_at,0.617898362
32206_at,0.617604725
39783_at,0.617586941
40725_at,0.617264257
39817_s_at,0.61675881
32805_at,0.616110635
36549_at,0.615795293
287_at,0.615523047
35264_at,0.614872584
40467_at,0.614758966
34705_at,0.614635786
41006_at,0.614060848
36601_at,0.613633736
34323_at,0.613559703
38563_at,0.613197423
34753_at,0.613082323
40957_at,0.612948635
35773_i_at,0.612797433
1750_at,0.612468462
40788_at,0.61242681
32914_f_at,0.612405946
38123_at,0.611285183
40816_at,0.611142524
36419_at,0.610988787
38725_s_at,0.610948559
38257_at,0.610752325
39792_at,0.610638272
527_at,0.610016918
35323_at,0.609919092
40537_at,0.60907889
32579_at,0.608855931
39736_at,0.608349158
32310_f_at,0.607527023
38758_at,0.607518812
36504_at,0.607438339
40146_at,0.607335714
38744_at,0.607109483
31907_at,0.606586422
1668_s_at,0.606201886
41328_s_at,0.605779778
41388_at,0.605477533
34731_at,0.605384442
34259_at,0.604691941
33770_at,0.604336325
38573_at,0.604136256
37717_at,0.603842775
31812_at,0.603601536
1521_at,0.603578621
39012_g_at,0.602944953
41248_at,0.602371625
31633_g_at,0.601536447
37412_at,0.601288273
473_g_at,0.60023581
31751_f_at,0.600021195
37659_at,0.599719593
39634_at,0.599267688
36952_at,0.599066766
38416_at,0.598915053
38866_at,0.598463804
2042_s_at,0.59841211
36970_at,0.598383249
40234_at,0.5982355
1087_at,0.597288783
131_at,0.597128727
39258_at,0.596607396
40564_at,0.596435765
36941_at,0.596207287
1696_at,0.596062909
33176_at,0.59597463
41717_at,0.595822873
773_at,0.595450974
1516_g_at,0.594832712
984_g_at,0.5932021
38536_at,0.593096575
38702_at,0.593055319
41463_at,0.592993458
39354_at,0.592002964
41712_at,0.591888354
34096_at,0.591566498
32586_at,0.591279393
41381_at,0.591071803
35761_at,0.590845299
40924_at,0.590745469
33425_at,0.590001709
32086_at,0.589852654
39381_at,0.589537228
39547_at,0.589478553
41510_s_at,0.589341577
AFFX-HSAC07/X00351_3_st,0.588657393
32118_at,0.588500364
31866_at,0.587965367
38752_r_at,0.587576096
38269_at,0.587502779
1100_at,0.587333404
36169_at,0.587139923
36845_at,0.586947015
39724_s_at,0.586593673
38795_s_at,0.586327435
1154_at,0.586209306
38283_at,0.586024834
31600_s_at,0.585884775
32848_at,0.585047484
1274_s_at,0.584498371
37731_at,0.584349013
36885_at,0.584258378
35136_at,0.583851938
32074_at,0.583798257
39533_at,0.583730489
31877_at,0.583417637
33889_s_at,0.583190459
36063_at,0.583180318
34928_at,0.583030818
35988_i_at,0.582827932
38983_at,0.581974473
35356_at,0.581771816
38967_at,0.581390247
41752_at,0.581150374
36946_at,0.581114509
38324_at,0.579553678
1272_at,0.579196136
35984_at,0.579121275
41322_s_at,0.579025521
AFFX-HUMGAPDH/M33197_5_st,0.57894123
1584_at,0.578804006
1846_at,0.578348159
36843_at,0.57823843
32125_at,0.578060837
40709_at,0.577887133
36802_at,0.576914585
39621_at,0.576887242
35774_r_at,0.576293989
32137_at,0.5762165
35263_at,0.575956733
31842_at,0.57556354
31639_f_at,0.575308785
37710_at,0.575013113
36145_at,0.574756833
38685_at,0.574699976
40072_at,0.573780674
41314_at,0.573685589
41506_at,0.573679542
32237_at,0.573587993
35180_at,0.573426502
34482_at,0.573170838
40878_f_at,0.572303726
33901_at,0.572240791
32703_at,0.571682185
36118_at,0.569875121
37508_f_at,0.569474396
1515_at,0.56904408
38687_at,0.568999686
676_g_at,0.568565008
39651_at,0.568468217
35232_f_at,0.568195449
38720_at,0.567902554
39290_f_at,0.56759135
31518_i_at,0.567182849
